taxonID,scientificName,kingdom,phylum,class,order,family,nomenclaturalCode
gn_130,Crypturellus tataupa tataupa,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_131,Rhynchotus rufescens,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_132,Rhynchotus rufescens catingae,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_133,Rhynchotus rufescens rufescens,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_134,Rhynchotus rufescens pallescens,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_135,Rhynchotus maculicollis,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_136,Nothoprocta taczanowskii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_137,Nothoprocta ornata,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_138,Nothoprocta ornata branickii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_139,Nothoprocta ornata ornata,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_140,Nothoprocta ornata rostrata,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_141,Nothoprocta perdicaria,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_142,Nothoprocta perdicaria perdicaria,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_143,Nothoprocta perdicaria sanborni,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_144,Nothoprocta cinerascens,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_145,Nothoprocta cinerascens cinerascens,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_146,Nothoprocta cinerascens parvimaculata,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_147,Nothoprocta pentlandii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_148,Nothoprocta pentlandii ambigua,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_149,Nothoprocta pentlandii oustaleti,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_150,Nothoprocta pentlandii niethammeri,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_151,Nothoprocta pentlandii fulvescens,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_152,Nothoprocta pentlandii pentlandii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_153,Nothoprocta pentlandii patriciae,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_154,Nothoprocta pentlandii doeringi,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_155,Nothoprocta pentlandii mendozae,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_156,Nothoprocta curvirostris,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_157,Nothoprocta curvirostris curvirostris,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_158,Nothoprocta curvirostris peruviana,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_159,Nothura boraquira,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_160,Nothura minor,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_161,Nothura darwinii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_162,Nothura darwinii peruviana,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_163,Nothura darwinii agassizii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_164,Nothura darwinii boliviana,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_165,Nothura darwinii salvadorii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_166,Nothura darwinii darwinii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_167,Nothura maculosa,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_168,Nothura maculosa cearensis,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_169,Nothura maculosa major,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_170,Nothura maculosa chacoensis,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_171,Nothura maculosa paludivaga,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_172,Nothura maculosa maculosa,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_173,Nothura maculosa pallida,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_174,Nothura maculosa annectens,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_175,Nothura maculosa submontana,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_176,Nothura maculosa nigroguttata,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_177,Taoniscus nanus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_178,Eudromia elegans,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_179,Eudromia elegans intermedia,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_180,Eudromia elegans magnistriata,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_181,Eudromia elegans riojana,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
